                                                                                                                         17 Nov 2020 12:31:38
Civil Air Patrol Use Only
Satellite-GRID


       Time (LCLG)          Detic Latitude (deg)    Detic Longitude (deg)    Detic Altitude (km)    RightAscension (deg)    Declination (deg)
------------------------    --------------------    ---------------------    -------------------    --------------------    -----------------
18 Nov 2020 00:00:00.000                 -56.983                  108.751             489.735185                  45.780              -56.900
18 Nov 2020 00:00:10.000                 -56.365                  108.444             489.551859                  45.512              -56.280
18 Nov 2020 00:00:20.000                 -55.746                  108.146             489.366176                  45.252              -55.660
18 Nov 2020 00:00:30.000                 -55.126                  107.856             489.178227                  45.001              -55.039
18 Nov 2020 00:00:40.000                 -54.505                  107.574             488.988103                  44.757              -54.418
18 Nov 2020 00:00:50.000                 -53.885                  107.298             488.795894                  44.520              -53.796
18 Nov 2020 00:01:00.000                 -53.263                  107.030             488.601695                  44.291              -53.173
18 Nov 2020 00:01:10.000                 -52.641                  106.768             488.405598                  44.068              -52.551
18 Nov 2020 00:01:20.000                 -52.019                  106.512             488.207697                  43.851              -51.928
18 Nov 2020 00:01:30.000                 -51.396                  106.261             488.008088                  43.640              -51.304
18 Nov 2020 00:01:40.000                 -50.772                  106.017             487.806866                  43.435              -50.680
18 Nov 2020 00:01:50.000                 -50.149                  105.778             487.604127                  43.235              -50.056
18 Nov 2020 00:02:00.000                 -49.525                  105.544             487.399969                  43.040              -49.432
18 Nov 2020 00:02:10.000                 -48.900                  105.314             487.194488                  42.850              -48.807
18 Nov 2020 00:02:20.000                 -48.275                  105.090             486.987782                  42.665              -48.181
18 Nov 2020 00:02:30.000                 -47.650                  104.869             486.779950                  42.484              -47.556
18 Nov 2020 00:02:40.000                 -47.024                  104.653             486.571090                  42.308              -46.930
18 Nov 2020 00:02:50.000                 -46.398                  104.441             486.361301                  42.135              -46.304
18 Nov 2020 00:03:00.000                 -45.771                  104.233             486.150683                  41.967              -45.678
18 Nov 2020 00:03:10.000                 -45.145                  104.028             485.939336                  41.802              -45.051
18 Nov 2020 00:03:20.000                 -44.518                  103.827             485.727358                  41.641              -44.424
18 Nov 2020 00:03:30.000                 -43.890                  103.629             485.514850                  41.483              -43.797
18 Nov 2020 00:03:40.000                 -43.263                  103.435             485.301912                  41.329              -43.170
18 Nov 2020 00:03:50.000                 -42.635                  103.244             485.088644                  41.178              -42.543
18 Nov 2020 00:04:00.000                 -42.007                  103.055             484.875145                  41.029              -41.915
18 Nov 2020 00:04:10.000                 -41.378                  102.870             484.661517                  40.884              -41.287
18 Nov 2020 00:04:20.000                 -40.749                  102.687             484.447859                  40.741              -40.659
18 Nov 2020 00:04:30.000                 -40.120                  102.507             484.234271                  40.601              -40.031
18 Nov 2020 00:04:40.000                 -39.491                  102.329             484.020853                  40.464              -39.403
18 Nov 2020 00:04:50.000                 -38.861                  102.154             483.807703                  40.329              -38.774
18 Nov 2020 00:05:00.000                 -38.232                  101.981             483.594921                  40.196              -38.145
18 Nov 2020 00:05:10.000                 -37.602                  101.810             483.382605                  40.066              -37.516
18 Nov 2020 00:05:20.000                 -36.972                  101.642             483.170855                  39.938              -36.887
18 Nov 2020 00:05:30.000                 -36.341                  101.475             482.959768                  39.812              -36.258
18 Nov 2020 00:05:40.000                 -35.710                  101.311             482.749441                  39.688              -35.629
18 Nov 2020 00:05:50.000                 -35.080                  101.148             482.539971                  39.566              -35.000
18 Nov 2020 00:06:00.000                 -34.448                  100.988             482.331455                  39.445              -34.370
18 Nov 2020 00:06:10.000                 -33.817                  100.829             482.123989                  39.327              -33.740
18 Nov 2020 00:06:20.000                 -33.186                  100.671             481.917667                  39.210              -33.111
18 Nov 2020 00:06:30.000                 -32.554                  100.516             481.712583                  39.095              -32.481
18 Nov 2020 00:06:40.000                 -31.922                  100.362             481.508833                  38.982              -31.851
18 Nov 2020 00:06:50.000                 -31.290                  100.209             481.306507                  38.870              -31.221
18 Nov 2020 00:07:00.000                 -30.658                  100.058             481.105698                  38.759              -30.590
18 Nov 2020 00:07:10.000                 -30.025                   99.909             480.906497                  38.650              -29.960
