                                                                                                                         27 Jan 2021 09:33:38
Civil Air Patrol Use Only
Satellite-GRID


       Time (LCLG)          Detic Latitude (deg)    Detic Longitude (deg)    Detic Altitude (km)    RightAscension (deg)    Declination (deg)
------------------------    --------------------    ---------------------    -------------------    --------------------    -----------------
28 Jan 2021 00:00:00.000                  30.375                   92.905             467.306273                  99.721               30.238
28 Jan 2021 00:00:10.000                  31.010                   92.754             467.436260                  99.611               30.871
28 Jan 2021 00:00:20.000                  31.644                   92.602             467.569388                  99.499               31.503
28 Jan 2021 00:00:30.000                  32.279                   92.449             467.705575                  99.385               32.136
28 Jan 2021 00:00:40.000                  32.913                   92.293             467.844734                  99.270               32.768
28 Jan 2021 00:00:50.000                  33.547                   92.136             467.986781                  99.153               33.401
28 Jan 2021 00:01:00.000                  34.181                   91.978             468.131627                  99.034               34.033
28 Jan 2021 00:01:10.000                  34.815                   91.818             468.279185                  98.914               34.665
28 Jan 2021 00:01:20.000                  35.448                   91.655             468.429366                  98.791               35.297
28 Jan 2021 00:01:30.000                  36.082                   91.491             468.582079                  98.667               35.929
28 Jan 2021 00:01:40.000                  36.715                   91.325             468.737235                  98.541               36.560
28 Jan 2021 00:01:50.000                  37.348                   91.157             468.894742                  98.413               37.192
28 Jan 2021 00:02:00.000                  37.981                   90.987             469.054508                  98.282               37.823
28 Jan 2021 00:02:10.000                  38.613                   90.815             469.216439                  98.150               38.455
28 Jan 2021 00:02:20.000                  39.245                   90.640             469.380443                  98.015               39.086
28 Jan 2021 00:02:30.000                  39.877                   90.463             469.546425                  97.877               39.717
28 Jan 2021 00:02:40.000                  40.509                   90.283             469.714291                  97.737               40.348
28 Jan 2021 00:02:50.000                  41.141                   90.101             469.883946                  97.595               40.978
28 Jan 2021 00:03:00.000                  41.772                   89.916             470.055294                  97.449               41.609
28 Jan 2021 00:03:10.000                  42.403                   89.728             470.228239                  97.301               42.239
28 Jan 2021 00:03:20.000                  43.034                   89.538             470.402686                  97.150               42.869
28 Jan 2021 00:03:30.000                  43.664                   89.344             470.578537                  96.995               43.499
28 Jan 2021 00:03:40.000                  44.294                   89.147             470.755696                  96.837               44.129
28 Jan 2021 00:03:50.000                  44.924                   88.947             470.934066                  96.676               44.758
28 Jan 2021 00:04:00.000                  45.554                   88.743             471.113551                  96.512               45.388
28 Jan 2021 00:04:10.000                  46.183                   88.535             471.294052                  96.343               46.017
28 Jan 2021 00:04:20.000                  46.812                   88.324             471.475473                  96.171               46.645
28 Jan 2021 00:04:30.000                  47.440                   88.109             471.657716                  95.995               47.274
28 Jan 2021 00:04:40.000                  48.069                   87.889             471.840686                  95.814               47.902
28 Jan 2021 00:04:50.000                  48.696                   87.665             472.024283                  95.630               48.530
28 Jan 2021 00:05:00.000                  49.324                   87.437             472.208413                  95.440               49.158
28 Jan 2021 00:05:10.000                  49.951                   87.204             472.392978                  95.246               49.785
28 Jan 2021 00:05:20.000                  50.578                   86.966             472.577882                  95.046               50.412
28 Jan 2021 00:05:30.000                  51.204                   86.722             472.763029                  94.841               51.038
28 Jan 2021 00:05:40.000                  51.830                   86.473             472.948324                  94.631               51.665
28 Jan 2021 00:05:50.000                  52.455                   86.218             473.133670                  94.414               52.290
28 Jan 2021 00:06:00.000                  53.080                   85.957             473.318974                  94.192               52.916
28 Jan 2021 00:06:10.000                  53.704                   85.690             473.504141                  93.962               53.541
28 Jan 2021 00:06:20.000                  54.328                   85.416             473.689078                  93.726               54.165
28 Jan 2021 00:06:30.000                  54.951                   85.135             473.873690                  93.483               54.790
28 Jan 2021 00:06:40.000                  55.574                   84.846             474.057886                  93.232               55.413
28 Jan 2021 00:06:50.000                  56.196                   84.549             474.241574                  92.973               56.036
28 Jan 2021 00:07:00.000                  56.817                   84.244             474.424663                  92.706               56.659
28 Jan 2021 00:07:10.000                  57.438                   83.930             474.607062                  92.430               57.280
28 Jan 2021 00:07:20.000                  58.058                   83.607             474.788683                  92.144               57.902
28 Jan 2021 00:07:30.000                  58.678                   83.274             474.969435                  91.848               58.522
28 Jan 2021 00:07:40.000                  59.297                   82.930             475.149232                  91.541               59.142
28 Jan 2021 00:07:50.000                  59.914                   82.575             475.327987                  91.223               59.761
28 Jan 2021 00:08:00.000                  60.531                   82.209             475.505614                  90.893               60.380
28 Jan 2021 00:08:10.000                  61.148                   81.829             475.682029                  90.551               60.997
28 Jan 2021 00:08:20.000                  61.763                   81.437             475.857146                  90.194               61.614
28 Jan 2021 00:08:30.000                  62.377                   81.030             476.030885                  89.824               62.229
28 Jan 2021 00:08:40.000                  62.990                   80.608             476.203163                  89.438               62.844
28 Jan 2021 00:08:50.000                  63.602                   80.169             476.373901                  89.035               63.457
28 Jan 2021 00:09:00.000                  64.213                   79.714             476.543018                  88.615               64.069
28 Jan 2021 00:09:10.000                  64.822                   79.239             476.710439                  88.176               64.680
28 Jan 2021 00:09:20.000                  65.430                   78.745             476.876085                  87.716               65.290
28 Jan 2021 00:09:30.000                  66.037                   78.229             477.039882                  87.235               65.898
28 Jan 2021 00:09:40.000                  66.642                   77.690             477.201756                  86.731               66.505
28 Jan 2021 00:09:50.000                  67.245                   77.127             477.361635                  86.201               67.110
28 Jan 2021 00:10:00.000                  67.847                   76.536             477.519448                  85.644               67.713
28 Jan 2021 00:10:10.000                  68.446                   75.917             477.675125                  85.058               68.313
28 Jan 2021 00:10:20.000                  69.043                   75.266             477.828598                  84.441               68.912
28 Jan 2021 00:10:30.000                  69.638                   74.582             477.979802                  83.789               69.509
28 Jan 2021 00:10:40.000                  70.231                   73.860             478.128671                  83.100               70.103
28 Jan 2021 00:10:50.000                  70.820                   73.099             478.275142                  82.370               70.694
28 Jan 2021 00:11:00.000                  71.407                   72.293             478.419153                  81.596               71.282
28 Jan 2021 00:11:10.000                  71.990                   71.440             478.560645                  80.774               71.866
28 Jan 2021 00:11:20.000                  72.570                   70.535             478.699559                  79.899               72.447
28 Jan 2021 00:11:30.000                  73.145                   69.573             478.835838                  78.966               73.024
28 Jan 2021 00:11:40.000                  73.717                   68.547             478.969428                  77.970               73.596
28 Jan 2021 00:11:50.000                  74.283                   67.453             479.100275                  76.905               74.163
28 Jan 2021 00:12:00.000                  74.844                   66.282             479.228329                  75.762               74.725
28 Jan 2021 00:12:10.000                  75.398                   65.028             479.353539                  74.536               75.280
28 Jan 2021 00:12:20.000                  75.946                   63.680             479.475858                  73.215               75.829
28 Jan 2021 00:12:30.000                  76.487                   62.230             479.595241                  71.792               76.369
28 Jan 2021 00:12:40.000                  77.019                   60.665             479.711642                  70.254               76.901
28 Jan 2021 00:12:50.000                  77.541                   58.974             479.825021                  68.590               77.423
28 Jan 2021 00:13:00.000                  78.052                   57.143             479.935336                  66.786               77.934
28 Jan 2021 00:13:10.000                  78.551                   55.156             480.042550                  64.827               78.432
28 Jan 2021 00:13:20.000                  79.036                   52.998             480.146626                  62.696               78.916
