                                                                                                                                                                                                                         25 May 2021 09:55:13
Civil Air Patrol Use Only
Satellite-GRID


       Time (LCLG)          Detic Latitude (deg)    Detic Longitude (deg)    Detic Altitude (km)    RightAscension (deg)    Declination (deg)       x (km)          y (km)          z (km)          x (km)          y (km)          z (km)   
------------------------    --------------------    ---------------------    -------------------    --------------------    -----------------    ------------    ------------    ------------    ------------    ------------    ------------
26 May 2021 00:00:00.000                  72.762                   72.545             479.905972                -164.169               72.773      611.356265     1944.312986     6527.760415    -1948.475622     -552.504176     6531.764493
26 May 2021 00:00:10.000                  73.336                   71.565             480.009451                -165.110               73.351      623.692537     1871.092687     6547.942809    -1893.541254     -503.493766     6551.834155
26 May 2021 00:00:20.000                  73.905                   70.521             480.109626                -166.116               73.924      635.844829     1797.623499     6567.310914    -1838.372079     -454.420920     6571.089047
26 May 2021 00:00:30.000                  74.470                   69.405             480.206448                -167.194               74.492      647.811288     1723.914771     6585.862348    -1782.974946     -405.291727     6589.526798
26 May 2021 00:00:40.000                  75.029                   68.211             480.299872                -168.351               75.054      659.590097     1649.975881     6603.594829    -1727.356731     -356.112280     6607.145143
26 May 2021 00:00:50.000                  75.582                   66.930             480.389852                -169.596               75.610      671.179474     1575.816241     6620.506176    -1671.524338     -306.888677     6623.941913
26 May 2021 00:01:00.000                  76.127                   65.553             480.476346                -170.939               76.159      682.577676     1501.445288     6636.594311    -1615.484694     -257.627025     6639.915045
26 May 2021 00:01:10.000                  76.665                   64.070             480.559312                -172.390               76.701      693.782997     1426.872491     6651.857255    -1559.244755     -208.333431     6655.062574
26 May 2021 00:01:20.000                  77.194                   62.469             480.638712                -173.960               77.233      704.793768     1352.107342     6666.293133    -1502.811498     -159.014008     6669.382640
26 May 2021 00:01:30.000                  77.713                   60.738             480.714508                -175.663               77.755      715.608360     1277.159362     6679.900170    -1446.191925     -109.674872     6682.873482
26 May 2021 00:01:40.000                  78.221                   58.861             480.786666                -177.514               78.266      726.225178     1202.038092     6692.676696    -1389.393060      -60.322140     6695.533445
26 May 2021 00:01:50.000                  78.716                   56.824             480.855152                -179.529               78.764      736.642669     1126.753101     6704.621141    -1332.421949      -10.961930     6707.360972
26 May 2021 00:02:00.000                  79.196                   54.610             480.919935                 178.275               79.247      746.859317     1051.313976     6715.732039    -1275.285658       38.399637     6718.354612
26 May 2021 00:02:10.000                  79.660                   52.199             480.980986                 175.879               79.713      756.873646      975.730326     6726.008026    -1217.991275       87.756443     6728.513017
26 May 2021 00:02:20.000                  80.105                   49.574             481.038278                 173.263               80.160      766.684217      900.011780     6735.447842    -1160.545904      137.102368     6737.834939
26 May 2021 00:02:30.000                  80.528                   46.714             481.091786                 170.406               80.585      776.289631      824.167984     6744.050328    -1102.956671      186.431297     6746.319237
26 May 2021 00:02:40.000                  80.927                   43.600             481.141486                 167.290               80.985      785.688528      748.208602     6751.814431    -1045.230717      235.737114     6753.964869
26 May 2021 00:02:50.000                  81.298                   40.218             481.187359                 163.899               81.357      794.879590      672.143314     6758.739199     -987.375199      285.013707     6760.770900
26 May 2021 00:03:00.000                  81.637                   36.553             481.229384                 160.219               81.696      803.861535      595.981813     6764.823785     -929.397291      334.254970     6766.736497
26 May 2021 00:03:10.000                  81.941                   32.602             481.267546                 156.246               81.998      812.633123      519.733807     6770.067443     -871.304183      383.454797     6771.860930
26 May 2021 00:03:20.000                  82.204                   28.367             481.301830                 151.985               82.260      821.193154      443.409015     6774.469535     -813.103076      432.607093     6776.143573
26 May 2021 00:03:30.000                  82.424                   23.866             481.332222                 147.454               82.476      829.540467      367.017168     6778.029522     -754.801186      481.705764     6779.583904
26 May 2021 00:03:40.000                  82.596                   19.130             481.358712                 142.688               82.644      837.673943      290.568006     6780.746971     -696.405740      530.744725     6782.181505
